date,close
2017-01-02,728419
2017-01-03,11422497
2017-01-04,12918906
2017-01-05,18600685
2017-01-06,19472104
2017-01-07,2574644
2017-01-08,697732
2017-01-09,18298912
2017-01-10,16684883
2017-01-11,15629754
2017-01-12,18540349
2017-01-13,19283941
2017-01-14,2312622
2017-01-15,559705
2017-01-16,18958598
2017-01-17,19250791
2017-01-18,17997216
2017-01-19,20395940
2017-01-20,20810731
2017-01-21,2722564
2017-01-22,706136
2017-01-23,20936919
2017-01-24,17975268
2017-01-25,18269613
2017-01-26,20564127
2017-01-27,20742338
2017-01-28,2322932
2017-01-29,683816
2017-01-30,24168508
2017-01-31,21945518
2017-02-01,17606627
2017-02-02,22140449
2017-02-03,22955749
2017-02-04,2993344
2017-02-05,837293
2017-02-06,23698342
2017-02-07,21698403
2017-02-08,18616766
2017-02-09,20430750
2017-02-10,20570217
2017-02-11,2740269
2017-02-12,919833
2017-02-13,20816789
2017-02-14,19390079
2017-02-15,18044072
2017-02-16,21376580
2017-02-17,22317626
2017-02-18,2396214
2017-02-19,984317
2017-02-20,21628653
2017-02-21,19090289
2017-02-22,20962789
2017-02-23,24671742
2017-02-24,22181085
2017-02-25,2133659
2017-02-26,972402
2017-02-27,28708160
2017-02-28,25754223
2017-03-01,13614599
2017-03-02,17734243
2017-03-03,19220758
2017-03-04,2320807
2017-03-05,993263
2017-03-06,21469289
2017-03-07,19982540
2017-03-08,18161249
2017-03-09,21138310
2017-03-10,22121405
2017-03-11,2931728
2017-03-12,613779
2017-03-13,21737866
2017-03-14,18295131
2017-03-15,16939012
2017-03-16,22702790
2017-03-17,21837333
2017-03-18,3868877
2017-03-19,1024095
2017-03-20,24049428
2017-03-21,24260634
2017-03-22,20066265
2017-03-23,24237478
2017-03-24,25191411
2017-03-25,4499013
2017-03-26,502175
2017-03-27,23743321
2017-03-28,21899726
2017-03-29,20628211
2017-03-30,28708372
2017-03-31,34711249
2017-04-01,1619855
2017-04-02,179180
2017-04-03,12533180
2017-04-04,12995483
2017-04-05,15443552
2017-04-06,18807522
2017-04-07,19579020
2017-04-08,2379859
2017-04-09,523859
2017-04-10,19448136
2017-04-11,18574716
2017-04-12,17543284
2017-04-13,22116874
2017-04-14,20994772
2017-04-15,2313382
2017-04-16,617668
2017-04-17,20107413
2017-04-18,18182913
2017-04-19,15688623
2017-04-20,18323288
2017-04-21,19225384
2017-04-22,2617230
2017-04-23,762839
2017-04-24,21854484
2017-04-25,20205667
2017-04-26,17806020
2017-04-27,22422609
2017-04-28,24635957
2017-04-29,3588761
2017-04-30,683148
2017-05-01,17888521
2017-05-02,16187136
2017-05-03,18053572
2017-05-04,21062346
2017-05-05,19710336
2017-05-06,3619046
2017-05-07,1026604
2017-05-08,26525976
2017-05-09,21712327
2017-05-10,20052453
2017-05-11,22488145
2017-05-12,22492498
2017-05-13,2613812
2017-05-14,825559
2017-05-15,22001759
2017-05-16,20012187
2017-05-17,17603036
2017-05-18,22032549
2017-05-19,19799506
2017-05-20,2888013
2017-05-21,756104
2017-05-22,24001165
2017-05-23,20599123
2017-05-24,21778674
2017-05-25,27200014
2017-05-26,28425856
2017-05-27,8410896
2017-05-28,532626
2017-05-29,835558
2017-05-30,26131306
2017-05-31,22222598
2017-06-01,15606182
2017-06-02,17631221
2017-06-03,2634751
2017-06-04,820928
2017-06-05,23906610
2017-06-06,20333564
2017-06-07,18568235
2017-06-08,20453103
2017-06-09,19775228
2017-06-10,2808564
2017-06-11,792944
2017-06-12,20891651
2017-06-13,20247660
2017-06-14,19164862
2017-06-15,20845237
2017-06-16,21392853
2017-06-17,3060365
2017-06-18,648500
2017-06-19,23462324
2017-06-20,19262329
2017-06-21,18485061
2017-06-22,21465401
2017-06-23,24435275
2017-06-24,4600239
2017-06-25,1061735
2017-06-26,29330446
2017-06-27,23375058
2017-06-28,14311268
2017-06-29,10120646
2017-06-30,18107291
